sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
	Pterois volitans/miles	RO:0002470	eats		Stegastes leucostictus		The Bight of Old Robinson, Abaco, Bahamas				doi: 10.3354/meps09511	Layman, CA, Allgeier, JE. 2012. Characterizing trophic ecology of generalist consumers: a case study of the invasive lionfish in The Bahamas. Mar Ecol Prog Ser, Vol. 448: 131Ð141.
	Pterois volitans/miles	RO:0002470	eats		Halichoeres bivittatus		The Bight of Old Robinson, Abaco, Bahamas				doi: 10.3354/meps09511	Layman, CA, Allgeier, JE. 2012. Characterizing trophic ecology of generalist consumers: a case study of the invasive lionfish in The Bahamas. Mar Ecol Prog Ser, Vol. 448: 131Ð141.
	Pterois volitans/miles	RO:0002470	eats		Sparisoma		The Bight of Old Robinson, Abaco, Bahamas				doi: 10.3354/meps09511	Layman, CA, Allgeier, JE. 2012. Characterizing trophic ecology of generalist consumers: a case study of the invasive lionfish in The Bahamas. Mar Ecol Prog Ser, Vol. 448: 131Ð141.
	Pterois volitans/miles	RO:0002470	eats		Haemulon		The Bight of Old Robinson, Abaco, Bahamas				doi: 10.3354/meps09511	Layman, CA, Allgeier, JE. 2012. Characterizing trophic ecology of generalist consumers: a case study of the invasive lionfish in The Bahamas. Mar Ecol Prog Ser, Vol. 448: 131Ð141.
	Pterois volitans/miles	RO:0002470	eats		Malacoctenus macropus		The Bight of Old Robinson, Abaco, Bahamas				doi: 10.3354/meps09511	Layman, CA, Allgeier, JE. 2012. Characterizing trophic ecology of generalist consumers: a case study of the invasive lionfish in The Bahamas. Mar Ecol Prog Ser, Vol. 448: 131Ð141.
	Pterois volitans/miles	RO:0002470	eats		Thalassoma bifasciatum		The Bight of Old Robinson, Abaco, Bahamas				doi: 10.3354/meps09511	Layman, CA, Allgeier, JE. 2012. Characterizing trophic ecology of generalist consumers: a case study of the invasive lionfish in The Bahamas. Mar Ecol Prog Ser, Vol. 448: 131Ð141.
	Pterois volitans/miles	RO:0002470	eats		Abudefduf		The Bight of Old Robinson, Abaco, Bahamas				doi: 10.3354/meps09511	Layman, CA, Allgeier, JE. 2012. Characterizing trophic ecology of generalist consumers: a case study of the invasive lionfish in The Bahamas. Mar Ecol Prog Ser, Vol. 448: 131Ð141.
	Pterois volitans/miles	RO:0002470	eats		Bodianus rufus		The Bight of Old Robinson, Abaco, Bahamas				doi: 10.3354/meps09511	Layman, CA, Allgeier, JE. 2012. Characterizing trophic ecology of generalist consumers: a case study of the invasive lionfish in The Bahamas. Mar Ecol Prog Ser, Vol. 448: 131Ð141.
	Pterois volitans/miles	RO:0002470	eats		Mithrax		The Bight of Old Robinson, Abaco, Bahamas				doi: 10.3354/meps09511	Layman, CA, Allgeier, JE. 2012. Characterizing trophic ecology of generalist consumers: a case study of the invasive lionfish in The Bahamas. Mar Ecol Prog Ser, Vol. 448: 131Ð141.
	Pterois volitans/miles	RO:0002470	eats		Alpheidae		The Bight of Old Robinson, Abaco, Bahamas				doi: 10.3354/meps09511	Layman, CA, Allgeier, JE. 2012. Characterizing trophic ecology of generalist consumers: a case study of the invasive lionfish in The Bahamas. Mar Ecol Prog Ser, Vol. 448: 131Ð141.
	Pterois volitans/miles	RO:0002470	eats		Portunidae		The Bight of Old Robinson, Abaco, Bahamas				doi: 10.3354/meps09511	Layman, CA, Allgeier, JE. 2012. Characterizing trophic ecology of generalist consumers: a case study of the invasive lionfish in The Bahamas. Mar Ecol Prog Ser, Vol. 448: 131Ð141.
	Pterois volitans/miles	RO:0002470	eats		Acanthurus chirurgus		The Bight of Old Robinson, Abaco, Bahamas				doi: 10.3354/meps09511	Layman, CA, Allgeier, JE. 2012. Characterizing trophic ecology of generalist consumers: a case study of the invasive lionfish in The Bahamas. Mar Ecol Prog Ser, Vol. 448: 131Ð141.
